,A1BG,A1CF,A2M,A4GALT,AAAS,AACS,AADAC,AADAT,AAGAB,AAK1,AAR2,AARS,AARS2,AARSD1,AATF,ABAT,ABCA1,ABCA10,ABCA3,ABCA6,ABCA7,ABCA8,ABCA9,ABCB10,ABCB11,ABCB8,ABCB9,ABCC1,ABCC10,ABCC4,ABCC5,ABCC9,ABCD1,ABCD3,ABCD4,ABCF1,ABCF2,ABCF3,ABCG1,ABCG4,ABCG5,ABCG8,ABHD11,ABHD12,ABHD14A,ABHD14B,ABHD15,ABHD16A,ABHD17C,ABHD2
TCGA-BC-A10U,0.198492987,-0.390436376,0.162287302,-0.353389116,-0.030317122,-0.290737816,0.009728021,-0.47593787,1.135738529,0.241773125,-1.253461596,0.822266312,0.518554561,-0.763427439,-0.028303785,0.066615375,-0.558311082,-0.335206454,-0.603152255,0.855404203,-0.263251864,0.905621403,1.142279943,-0.71893605,-0.293192152,0.983638463,-0.134828475,-0.094714012,0.866264934,-0.149737534,-0.072190108,0.072041317,1.822733754,-0.476259743,-0.949050801,1.685877036,0.576973387,-0.232972226,-0.699118393,-0.883838504,-0.859455841,-0.879782782,0.240086582,0.095182623,0.603295904,-0.494003295,-0.15823414,1.140432718,-0.633664905,0.034801926
TCGA-DD-A3A4,-0.870969744,-0.732832137,3.66321734,-0.650630914,-1.410036003,-0.626437373,0.721779825,-0.09538521,-0.800568001,-0.848234505,-1.099658095,-0.273781303,-1.622255593,-0.610762348,-0.984332016,0.791911688,0.37811153,-0.91064709,-0.834115178,-0.21675898,-0.464562112,-0.439188684,-0.144476874,-0.328647076,-0.152732303,-0.605472975,-0.740201151,-0.983024072,-1.095925916,-0.854330495,-1.571747662,0.231116574,-0.385179024,-0.343270724,-0.678030224,-1.523721616,-0.400461531,-1.065747079,1.411711639,-0.842573794,-0.732764146,-0.686367305,-1.124956722,-1.374523846,-0.340660647,1.478559076,-1.514172555,-0.126365606,-0.505390034,0.829894587
TCGA-FV-A3I0,-1.153924425,-2.436600959,-0.904827896,4.194232759,3.341743333,2.848424319,-1.488223917,-0.811610638,1.919994919,-0.155152524,-1.74475968,-0.456904208,0.134722843,1.08544803,0.890887281,-1.564618711,-1.706620647,-0.962381833,0.10923063,-1.520181471,0.287702501,-0.875921824,-0.848011061,-1.277960736,-1.000807306,-1.074506394,5.25372587,2.036321373,2.415996995,3.964060495,-0.186474083,-1.077270031,0.134650413,-1.697369213,-1.715746321,0.933765818,-0.185697852,-1.275612269,0.315575195,0.189043952,-1.277994095,-1.462941647,2.639825366,2.564379628,-1.222995931,-1.424054841,-0.642645822,0.155073052,0.392210135,-0.721363564
TCGA-EP-A3RK,-0.858666343,-1.314801601,0.210493199,0.77743237,0.288101717,-0.118288654,2.696406242,-0.334144175,0.748552532,-0.878992581,-0.366707173,1.566862084,-1.123660121,-0.677069873,1.681800042,-0.94909156,-1.023947374,-0.700239866,-0.366680126,-0.528353182,-0.157341997,-0.536202133,-0.07196032,-0.116753661,-0.528664553,0.234226425,-0.494224897,0.118963478,0.339823486,-0.627938371,2.11350917,0.11690113,0.342882543,-1.197976337,-0.857003794,-0.210139474,0.323419792,0.201611709,-0.505350865,-0.512456115,-0.948064084,-1.087965792,-0.260537052,0.457666457,-0.933849986,0.246771087,-1.485046338,-0.001107563,1.202134214,-1.101416782
TCGA-EP-A12J,-0.954402367,1.685787643,-0.877302054,-0.671887847,-0.527589172,0.225390556,2.12908192,-0.360186865,-0.169002028,1.127605715,-0.464698138,1.250327045,-0.126629909,-0.9491116,-0.384074517,0.999787302,0.57646126,-0.399369096,-0.659939469,1.386999828,0.519811974,-0.17222908,0.655677381,0.53248153,1.355226961,-0.433696555,0.101380488,-0.832122565,-0.96446286,-0.866013927,-0.631203679,3.04975894,1.73108244,0.610983446,-2.009748411,-0.986866858,-0.129168645,-0.673880667,-0.755766175,-0.460875228,-0.180453579,1.036953393,-0.521745377,-1.270299212,-0.478123473,1.820741112,0.736455469,-0.564714696,0.884038449,-0.16615874
TCGA-DD-A11B,0.198492987,0.311169643,-0.197539763,-0.644532128,0.756052219,-0.474103586,0.343993197,0.223663469,1.59315082,-0.241275137,2.878546704,-1.372620233,-0.386214593,-1.357116465,-0.917658196,0.199032628,0.054689641,1.645742878,-0.059012086,-5.76E-05,-0.354834515,0.931212584,-0.01798493,1.237260841,0.286579084,-0.008744437,0.493068769,-0.943086589,-0.466435241,-0.368853134,-0.055405105,1.397840613,-0.785166643,-0.119192478,1.37075148,-0.546856862,-0.277350854,0.23222232,-0.680932849,-0.832257616,1.108151951,1.161497278,-0.252862216,-0.093867814,-0.17814302,0.523279335,1.032551089,-0.910863702,-0.405296763,0.40176459
TCGA-BC-A110,2.28010186,-1.369359477,0.036104488,0.69607575,-1.378037628,-0.65192793,-0.288938799,0.618781507,-1.066976065,-0.075767394,-0.082674419,-0.67279968,-2.036305219,0.106844398,-0.251016553,-0.311480755,-0.313905369,-0.0898277,-0.514016106,-0.478440359,-0.118478352,-0.301004938,0.361284891,-1.262224534,-0.713635798,-0.999361692,-0.578343194,-0.266899567,-0.3770037,-0.551381143,-1.262465741,-0.343280862,-0.925089366,-0.601207176,-0.051441294,-0.1199649,-0.517777374,-0.472869786,-0.340000584,0.673904292,-0.401739655,-0.969956214,0.032536138,-0.938148097,2.105229642,-0.088036301,-0.614837817,-1.005145112,-0.849075988,-0.631107642
TCGA-DD-A1EH,-0.834737242,0.552114809,0.808391821,-0.306908078,0.371948168,-0.506797996,0.293797716,-0.7505184,0.748552532,-0.400045396,1.333459566,-0.073377626,1.892183481,0.106844398,0.45593837,-0.610957669,2.859248879,-0.527405361,-0.052514047,-0.62118347,-0.679513243,-0.846360341,-0.483368159,4.300367118,-0.983212389,-0.897253479,-0.151373069,-0.715538596,2.722591361,0.138453798,-0.310537147,-0.890969001,-0.294471683,-0.75612779,0.95579406,3.087156255,0.345712167,-0.420828134,-0.033945726,-0.440242873,-0.149182709,0.12829271,-0.320022531,-1.183474742,-0.363006821,-0.886411777,0.890560779,2.421151606,-0.405296763,-0.516351716
TCGA-DD-A1EJ,-0.699722788,0.977042508,-0.334317949,-0.804936118,0.787062227,0.294492132,1.290657539,-0.269603597,1.063064668,-1.090783904,-0.240306217,-0.229120275,-0.168099165,1.33001235,0.685265413,-0.819609386,0.027688769,-0.817293335,-0.867452945,-0.664341562,-0.556359243,-0.786762667,-0.489342534,0.081896415,-0.989875996,-0.197937908,-0.342931561,-0.995937988,0.192778655,-0.421121121,1.462980844,-1.033369392,-0.13991736,1.339843474,1.128719864,-0.362060922,0.368122804,0.111044779,-0.669692914,-0.57435318,-0.443932992,-0.98020574,-0.504064665,-0.28430948,0.804411468,0.190935638,-1.439662167,-0.98654832,-1.384634371,-0.856733667
TCGA-BC-A10Z,-0.706068931,2.645604216,0.666223953,-0.778290937,-1.211291911,-0.454708597,-0.041414845,0.915596112,-0.409051697,-0.428167066,-0.937056227,0.291028454,1.653815626,-0.131485552,1.25317573,1.855863996,-0.357533481,-0.792437537,-0.885251923,2.214377054,0.016729384,-0.374412356,0.181229582,-0.659418929,1.631991263,-0.738075992,-0.14579176,-1.044484749,-0.226227099,-0.390477732,-0.072190108,0.525730441,-0.446923519,1.339843474,-1.485084506,0.727657042,-0.706050379,1.332722561,0.512180713,0.240624839,1.810071293,1.254247094,-0.396594966,0.498678332,-0.307479965,-0.841983217,0.774181453,-0.454890909,-0.958887052,2.628715775
TCGA-DD-A113,-0.569072386,-0.146917371,0.535402921,0.257732916,-0.030317122,0.70782706,-0.815086313,-0.874041038,-0.65879749,0.75470066,0.19497784,-0.057200691,0.157386274,1.33001235,0.585616778,-0.293425781,-1.295942534,0.370004572,2.755345285,-0.021146777,0.499736714,-0.632827182,-0.369443003,1.313838498,-0.989052404,-0.147751662,1.869260061,1.862940085,-0.356315291,0.797337892,0.083253614,-0.474613865,-0.377198151,0.018976574,-0.872607032,0.141347613,-0.517777374,-1.043954637,0.032933758,1.561095554,-1.090636914,-0.96299251,0.052020106,0.338001136,0.125900374,-0.725384937,0.590636065,-0.026488941,0.681044545,-0.972950223
TCGA-DD-A1EB,2.352400087,0.235213207,-0.492284664,-0.550208187,-0.527589172,-0.67276369,-1.211100824,2.337547543,-0.891881012,0.147155424,-0.082674419,-0.574367788,1.301969885,-1.085728962,-1.006202574,1.225696723,1.026279602,1.309322536,0.10923063,1.891542153,-0.393955535,-0.569863383,4.980300996,-0.052406617,2.241411806,1.213381943,-0.409508602,-0.892985375,-0.982794362,0.931697364,-0.871448154,1.045897675,-0.709262534,-0.403405071,-0.466600306,-0.830371568,0.10912916,1.144252272,-0.010233569,-0.842573794,0.978645878,1.089601236,0.273776694,0.603725947,-0.090789795,0.190935638,1.095574198,-0.3412018,-1.135858864,2.257577913
TCGA-DD-A1EE,-0.804002088,0.573100052,-0.389342346,2.591199453,-0.105844819,-0.349255269,-0.384928925,-0.51371521,0.681244488,1.127605715,-0.416072053,1.764030375,1.301969885,-0.257596846,0.651807805,0.089947848,0.426227525,-0.6730719,-0.706414577,-0.926985447,-0.686633955,-0.129203097,-0.489342534,0.946374807,-0.14677998,0.631167615,-0.707111962,0.407493855,-0.191986472,-0.863554257,-0.325570672,0.410113128,2.429623358,-0.281444512,-0.135263338,0.75649766,3.053733154,-0.524152497,-0.039771074,-0.914787036,-0.834751854,-0.895875846,-0.729933558,-1.174441548,-1.069958499,0.782607444,-1.184619448,0.516575224,-0.126072171,-0.1450485
TCGA-FV-A3I1,0.030777378,-0.114547116,-0.356069894,-0.568682179,0.072926027,0.062417232,-0.184623337,-0.603423526,-0.304277077,-0.400045396,-0.464698138,2.943956984,0.621424033,-0.182438055,0.146998634,0.055065554,-0.819417608,-0.821050607,0.663824167,-0.313318979,-0.325794021,-0.468707011,-0.384275935,0.223833843,0.675651367,0.910169629,-0.100543292,1.862940085,-0.281745361,0.377964161,1.249884287,-0.765833734,1.028508177,0.036793385,1.528961052,0.04402641,0.436300811,-0.599793593,-0.127748776,-0.894154681,-0.049987044,-0.492223719,0.465801538,-0.269045146,0.069696362,-1.062056517,-1.755279886,0.128583436,0.042045652,-0.247747338
TCGA-DD-A1EI,0.217466274,0.389267815,0.304250527,-0.349303521,-0.155345523,0.028891607,0.151298438,-0.443564645,2.445468352,0.283662695,0.19497784,-0.456904208,-0.902972956,1.119660096,0.487995877,-0.975803608,0.593750647,2.829283513,-0.298591974,-0.535279789,-0.423382091,-0.26988986,-0.361820525,-0.467857934,-0.697051653,0.063706906,-0.308646378,0.486292661,-0.513835266,-0.232956368,0.424791932,-0.728130832,-0.110697067,0.260474773,1.158232965,-0.794257271,0.235905957,0.141004869,0.251197624,1.726154393,0.22671548,-0.125705124,-0.610082963,0.417222832,0.25930026,0.715734659,-0.669888879,0.694731409,1.32360663,-0.090977625
